	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	A01	SYBR		Unkn			20.8035011476844	20.8035011476844	0	NaN	NaN	NaN	0	60	
	A02	SYBR		Unkn			20.4521812526037	20.4521812526037	0	NaN	NaN	NaN	0	60	
	A03	SYBR		Unkn			20.7308990816864	20.7308990816864	0	NaN	NaN	NaN	0	60	
	A04	SYBR		Unkn			21.5253150446195	21.5253150446195	0	NaN	NaN	NaN	0	60	
	A05	SYBR		Unkn			21.2479525810463	21.2479525810463	0	NaN	NaN	NaN	0	60	
	A06	SYBR		Unkn			21.12300284404	21.12300284404	0	NaN	NaN	NaN	0	60	
	A07	SYBR		Unkn			20.8460820468873	20.8460820468873	0	NaN	NaN	NaN	0	60	
	A08	SYBR		Unkn			21.1587860663484	21.1587860663484	0	NaN	NaN	NaN	0	60	
	A09	SYBR		Unkn			21.6276151120608	21.6276151120608	0	NaN	NaN	NaN	0	60	
	A10	SYBR		Unkn			21.4098874724164	21.4098874724164	0	NaN	NaN	NaN	0	60	
	A11	SYBR		Unkn			21.2230140587044	21.2230140587044	0	NaN	NaN	NaN	0	60	
	A12	SYBR		Unkn			21.3372807743531	21.3372807743531	0	NaN	NaN	NaN	0	60	
	B01	SYBR		Unkn			21.1513338521245	21.1513338521245	0	NaN	NaN	NaN	0	60	
	B02	SYBR		Unkn			20.8352525459649	20.8352525459649	0	NaN	NaN	NaN	0	60	
	B03	SYBR		Unkn			20.8756059278564	20.8756059278564	0	NaN	NaN	NaN	0	60	
	B04	SYBR		Unkn			21.7816731066757	21.7816731066757	0	NaN	NaN	NaN	0	60	
	B05	SYBR		Unkn			21.3866262407043	21.3866262407043	0	NaN	NaN	NaN	0	60	
	B06	SYBR		Unkn			21.1833536432819	21.1833536432819	0	NaN	NaN	NaN	0	60	
	B07	SYBR		Unkn			21.028415009808	21.028415009808	0	NaN	NaN	NaN	0	60	
	B08	SYBR		Unkn			21.2550789915447	21.2550789915447	0	NaN	NaN	NaN	0	60	
	B09	SYBR		Unkn			21.6416290063236	21.6416290063236	0	NaN	NaN	NaN	0	60	
	B10	SYBR		Unkn			21.5255784277537	21.5255784277537	0	NaN	NaN	NaN	0	60	
	B11	SYBR		Unkn			21.0709521508492	21.0709521508492	0	NaN	NaN	NaN	0	60	
	B12	SYBR		Unkn			21.5011294253437	21.5011294253437	0	NaN	NaN	NaN	0	60	
	C01	SYBR		Unkn			20.9463670592704	20.9463670592704	0	NaN	NaN	NaN	0	60	
	C02	SYBR		Unkn			20.7252550462358	20.7252550462358	0	NaN	NaN	NaN	0	60	
	C03	SYBR		Unkn			20.7113618838527	20.7113618838527	0	NaN	NaN	NaN	0	60	
	C04	SYBR		Unkn			21.7702932166834	21.7702932166834	0	NaN	NaN	NaN	0	60	
	C05	SYBR		Unkn			21.213236858231	21.213236858231	0	NaN	NaN	NaN	0	60	
	C06	SYBR		Unkn			21.3279837285638	21.3279837285638	0	NaN	NaN	NaN	0	60	
	C07	SYBR		Unkn			20.8095195412384	20.8095195412384	0	NaN	NaN	NaN	0	60	
	C08	SYBR		Unkn			21.338763262076	21.338763262076	0	NaN	NaN	NaN	0	60	
	C09	SYBR		Unkn			21.6886485063983	21.6886485063983	0	NaN	NaN	NaN	0	60	
