,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,29.7873583468785,29.7873583468785,0,NaN,NaN,NaN,0,60,
,A02,SYBR,,Unkn,,,32.2072764497783,32.2072764497783,0,NaN,NaN,NaN,0,60,
,A03,SYBR,,Unkn,,,33.1243729765712,33.1243729765712,0,NaN,NaN,NaN,0,60,
,A04,SYBR,,Unkn,,,32.8261027498937,32.8261027498937,0,NaN,NaN,NaN,0,60,
,A05,SYBR,,Unkn,,,27.4076979456138,27.4076979456138,0,NaN,NaN,NaN,0,60,
,A06,SYBR,,Unkn,,,27.9941292668441,27.9941292668441,0,NaN,NaN,NaN,0,60,
,A07,SYBR,,Unkn,,,28.8111862510905,28.8111862510905,0,NaN,NaN,NaN,0,60,
,A08,SYBR,,Unkn,,,29.2138068818844,29.2138068818844,0,NaN,NaN,NaN,0,60,
,A09,SYBR,,Unkn,,,28.2177853347479,28.2177853347479,0,NaN,NaN,NaN,0,60,
,A10,SYBR,,Unkn,,,27.4569028748623,27.4569028748623,0,NaN,NaN,NaN,0,60,
,A11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B01,SYBR,,Unkn,,,29.6458033228608,29.6458033228608,0,NaN,NaN,NaN,0,60,
,B02,SYBR,,Unkn,,,31.9871708377106,31.9871708377106,0,NaN,NaN,NaN,0,60,
,B03,SYBR,,Unkn,,,32.5758161177299,32.5758161177299,0,NaN,NaN,NaN,0,60,
,B04,SYBR,,Unkn,,,32.1269579991987,32.1269579991987,0,NaN,NaN,NaN,0,60,
,B05,SYBR,,Unkn,,,27.3706357015407,27.3706357015407,0,NaN,NaN,NaN,0,60,
,B06,SYBR,,Unkn,,,27.8521314072783,27.8521314072783,0,NaN,NaN,NaN,0,60,
,B07,SYBR,,Unkn,,,28.7124426099454,28.7124426099454,0,NaN,NaN,NaN,0,60,
,B08,SYBR,,Unkn,,,29.067230625758,29.067230625758,0,NaN,NaN,NaN,0,60,
,B09,SYBR,,Unkn,,,27.0916794220826,27.0916794220826,0,NaN,NaN,NaN,0,60,
,B10,SYBR,,Unkn,,,26.9527243906319,26.9527243906319,0,NaN,NaN,NaN,0,60,
,B11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C01,SYBR,,Unkn,,,29.832394081271,29.832394081271,0,NaN,NaN,NaN,0,60,
,C02,SYBR,,Unkn,,,31.695444528656,31.695444528656,0,NaN,NaN,NaN,0,60,
,C03,SYBR,,Unkn,,,32.5265439134536,32.5265439134536,0,NaN,NaN,NaN,0,60,
,C04,SYBR,,Unkn,,,32.0979287020945,32.0979287020945,0,NaN,NaN,NaN,0,60,
,C05,SYBR,,Unkn,,,26.9059039742797,26.9059039742797,0,NaN,NaN,NaN,0,60,
,C06,SYBR,,Unkn,,,27.6802192394612,27.6802192394612,0,NaN,NaN,NaN,0,60,
,C07,SYBR,,Unkn,,,28.30398880347,28.30398880347,0,NaN,NaN,NaN,0,60,
,C08,SYBR,,Unkn,,,29.1462349766074,29.1462349766074,0,NaN,NaN,NaN,0,60,
,C09,SYBR,,Unkn,,,27.3416563142218,27.3416563142218,0,NaN,NaN,NaN,0,60,
,C10,SYBR,,Unkn,,,27.0778699554442,27.0778699554442,0,NaN,NaN,NaN,0,60,
,C11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D01,SYBR,,Unkn,,,21.0975279625671,21.0975279625671,0,NaN,NaN,NaN,0,60,
,D02,SYBR,,Unkn,,,23.0700372997293,23.0700372997293,0,NaN,NaN,NaN,0,60,
,D03,SYBR,,Unkn,,,22.7482455850812,22.7482455850812,0,NaN,NaN,NaN,0,60,
,D04,SYBR,,Unkn,,,22.2903164466207,22.2903164466207,0,NaN,NaN,NaN,0,60,
,D05,SYBR,,Unkn,,,22.1147315142834,22.1147315142834,0,NaN,NaN,NaN,0,60,
,D06,SYBR,,Unkn,,,21.7943555653761,21.7943555653761,0,NaN,NaN,NaN,0,60,
,D07,SYBR,,Unkn,,,23.0736145081305,23.0736145081305,0,NaN,NaN,NaN,0,60,
,D08,SYBR,,Unkn,,,23.3104174222678,23.3104174222678,0,NaN,NaN,NaN,0,60,
,D09,SYBR,,Unkn,,,21.8363936730627,21.8363936730627,0,NaN,NaN,NaN,0,60,
,D10,SYBR,,Unkn,,,21.7325236565056,21.7325236565056,0,NaN,NaN,NaN,0,60,
,D11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E01,SYBR,,Unkn,,,21.0896583213248,21.0896583213248,0,NaN,NaN,NaN,0,60,
,E02,SYBR,,Unkn,,,22.4889158711834,22.4889158711834,0,NaN,NaN,NaN,0,60,
,E03,SYBR,,Unkn,,,22.7923146663153,22.7923146663153,0,NaN,NaN,NaN,0,60,
,E04,SYBR,,Unkn,,,22.1118891336689,22.1118891336689,0,NaN,NaN,NaN,0,60,
,E05,SYBR,,Unkn,,,21.7087726919609,21.7087726919609,0,NaN,NaN,NaN,0,60,
,E06,SYBR,,Unkn,,,22.1669321598691,22.1669321598691,0,NaN,NaN,NaN,0,60,
,E07,SYBR,,Unkn,,,22.8537745132799,22.8537745132799,0,NaN,NaN,NaN,0,60,
,E08,SYBR,,Unkn,,,23.2054850264791,23.2054850264791,0,NaN,NaN,NaN,0,60,
,E09,SYBR,,Unkn,,,21.6680515849726,21.6680515849726,0,NaN,NaN,NaN,0,60,
,E10,SYBR,,Unkn,,,21.623097713706,21.623097713706,0,NaN,NaN,NaN,0,60,
,E11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F01,SYBR,,Unkn,,,21.0608252569374,21.0608252569374,0,NaN,NaN,NaN,0,60,
,F02,SYBR,,Unkn,,,22.7347935988615,22.7347935988615,0,NaN,NaN,NaN,0,60,
,F03,SYBR,,Unkn,,,22.8052963176313,22.8052963176313,0,NaN,NaN,NaN,0,60,
,F04,SYBR,,Unkn,,,22.4792049186736,22.4792049186736,0,NaN,NaN,NaN,0,60,
,F05,SYBR,,Unkn,,,21.7834698419939,21.7834698419939,0,NaN,NaN,NaN,0,60,
,F06,SYBR,,Unkn,,,21.6988984986258,21.6988984986258,0,NaN,NaN,NaN,0,60,
,F07,SYBR,,Unkn,,,23.0002722920768,23.0002722920768,0,NaN,NaN,NaN,0,60,
,F08,SYBR,,Unkn,,,23.1033067193224,23.1033067193224,0,NaN,NaN,NaN,0,60,
,F09,SYBR,,Unkn,,,21.7435364157451,21.7435364157451,0,NaN,NaN,NaN,0,60,
,F10,SYBR,,Unkn,,,21.7714293223914,21.7714293223914,0,NaN,NaN,NaN,0,60,
,F11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G01,SYBR,,Unkn,,,34.2607178871948,34.2607178871948,0,NaN,NaN,NaN,0,60,
,G02,SYBR,,Unkn,,,35.140737862639,35.140737862639,0,NaN,NaN,NaN,0,60,
,G03,SYBR,,Unkn,,,34.273162347981,34.273162347981,0,NaN,NaN,NaN,0,60,
,G04,SYBR,,Unkn,,,34.438170056936,34.438170056936,0,NaN,NaN,NaN,0,60,
,G05,SYBR,,Unkn,,,35.5606033754295,35.5606033754295,0,NaN,NaN,NaN,0,60,
,G06,SYBR,,Unkn,,,33.5618018120083,33.5618018120083,0,NaN,NaN,NaN,0,60,
,G07,SYBR,,Unkn,,,35.4819797014507,35.4819797014507,0,NaN,NaN,NaN,0,60,
,G08,SYBR,,Unkn,,,33.5200931980454,33.5200931980454,0,NaN,NaN,NaN,0,60,
,G09,SYBR,,Unkn,,,35.0649857147436,35.0649857147436,0,NaN,NaN,NaN,0,60,
,G10,SYBR,,Unkn,,,33.5063962747078,33.5063962747078,0,NaN,NaN,NaN,0,60,
,G11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H01,SYBR,,Unkn,,,34.92373592258,34.92373592258,0,NaN,NaN,NaN,0,60,
,H02,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H03,SYBR,,Unkn,,,35.4440613895307,35.4440613895307,0,NaN,NaN,NaN,0,60,
,H04,SYBR,,Unkn,,,35.9768218034599,35.9768218034599,0,NaN,NaN,NaN,0,60,
,H05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H06,SYBR,,Unkn,,,34.880035828186,34.880035828186,0,NaN,NaN,NaN,0,60,
,H07,SYBR,,Unkn,,,36.227458043679,36.227458043679,0,NaN,NaN,NaN,0,60,
,H08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H09,SYBR,,Unkn,,,37.0308251989019,37.0308251989019,0,NaN,NaN,NaN,0,60,
,H10,SYBR,,Unkn,,,35.3367686341904,35.3367686341904,0,NaN,NaN,NaN,0,60,
,H11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
