Strain	Replicate	YPAD	X37C	pH4	pH8	SDS	FLC	X4NQO	MCF
63	2	6.12588550313144	6.37886242915813	6.02059567381334	6.13439507774231	5.44836241387743	5.5604668650086	6.12588550313144	4.50789369069699
16	2	6.06518334373186	6.45740573145966	6.20103189065764	6.06518334373186	5.63571889772845	5.80109976110351	6.03855459511077	5.28236747305879
L26	2	5.78047811328919	5.65944224659401	5.75948677877225	5.8901862862725	5.46324130600918	5.91883608817056	5.81128257476619	5.18482537904441
SC	2	6.25397498437807	6.41920445240088	6.28532220528347	6.19762393083444	5.83722791004676	5.8765022400888	6.2460417499407	5.89579050289661
BF	2	6.34621622346628	6.38312485399634	6.33121040987829	6.17288403885217	5.75506377783418	5.94319126073247	6.03482680311522	6.01683335966091
63	3	6.48733841647446	6.71756523341883	6.45972766314271	6.40306837947166	5.7839397887507	5.81465888898207	6.35180715170192	5.28848001279953
16	3	6.32175933586203	6.69341857318886	6.10299581133525	6.21999027455225	5.86433531915379	5.98723935270975	6.23607064449407	5.52476247505991
L26	3	6.20375332882228	6.32932468906562	6.16247030499226	6.08563914261632	5.68637118945572	5.98723935270975	6.09433783108639	5.42294325046275
SC	3	6.36477698912053	6.41563253614204	6.31225163041658	6.23406913137966	5.70608115117524	5.54836454338295	6.2420605929785	6.03929928897177
BF	3	6.45100340475858	6.29691958878811	6.37214136174786	6.14356837785778	5.72813745869067	5.79169186184046	6.11804962246223	5.80195147550007
63	4	6.31034322617516	6.47703844752938	6.2400663735922	6.11590667174993	5.83971293527484	5.74705699218618	6.16664326652809	4.9967025158818
16	4	6.25595224472222	6.39946059972504	6.30268652593381	6.24802869092602	5.86921297796848	5.99182095335127	6.1914723478592	5.43065279933074
L26	4	6.01004302339764	5.44585594857612	5.9361494742035	5.74705699218618	5.6092898167276	5.97343178090307	5.77874343114831	5.24149379141581
SC	4	6.97760640877365	7.18161205456528	7.14322603150249	6.95658453292301	6.74435564851102	6.68428026333257	6.99839902752694	6.81396966415561
BF	4	6.98282561640232	7.00356268053026	6.97760640877365	6.84783848719864	6.72056126436433	6.68428026333257	6.83097935732609	6.81965648919851
